Code,Country,Name
EBAW,Belgium,Antwerp
EBBR,Belgium,Brussels
EBCI,Belgium,Charleroi
EBLG,Belgium,Liège
EBOS,Belgium,Ostend-Bruges
EGAA,United Kingdom,Belfast - Aldergrove
EGAC,United Kingdom,Belfast - City Airport
EGAE,United Kingdom,Londonderry - Eglinton
EGBB,United Kingdom,Birmingham
EGCC,United Kingdom,Manchester
EGGD,United Kingdom,Bristol
EGGW,United Kingdom,London - Luton
EGHI,United Kingdom,Southampton
EGKB,United Kingdom,Biggin Hill
EGKK,United Kingdom,London - Gatwick
EGLC,United Kingdom,London - City
EGLF,United Kingdom,Farnborough
EGLL,United Kingdom,London - Heathrow
EGNX,United Kingdom,East Midlands
EGPD,United Kingdom,Aberdeen
EGPF,United Kingdom,Glasgow
EGPH,United Kingdom,Edinburgh
EGSS,United Kingdom,London - Stansted
EHAM,Netherlands,Amsterdam - Schiphol
EHBK,Netherlands,Maastricht-Aachen
EHGG,Netherlands,Groningen
EHRD,Netherlands,Rotterdam
EICK,Ireland,Cork
EIDL,Ireland,Donegal
EIDW,Ireland,Dublin
EIKN,Ireland,Connaught
EIKY,Ireland,Kerry - Farranfore
EINN,Ireland,Shannon
EIWF,Ireland,Waterford
ELLX,Luxembourg,Luxembourg
LFBA,France,Agen-La Garenne
LFBD,France,Bordeaux-Mérignac
LFBE,France,Bergerac-Roumanière
LFBH,France,La Rochelle-Ile de Ré
LFBI,France,Poitiers-Biard
LFBL,France,Limoges-Bellegarde
LFBO,France,Toulouse-Blagnac
LFBP,France,Pau-Pyrénées
LFBT,France,Tarbes-Lourdes Pyrénées
LFBZ,France,Biarritz-Bayonne-Anglet
LFCR,France,Rodez-Marcillac
LFGJ,France,Dôle-Tavaux
LFJL,France,Metz-Nancy-Lorraine
LFKB,France,Bastia-Poretta
LFKC,France,Calvi-Sainte-Catherine
LFKF,France,Figari-Sud Corse
LFKJ,France,Ajaccio-Napoléon-Bonaparte
LFLB,France,Chambéry-Aix-les-Bains
LFLC,France,Clermont-Ferrand-Auvergne
LFLL,France,Lyon-Saint-Exupéry
LFLP,France,Annecy-Meythet
LFLS,France,Grenoble-Isère
LFLY,France,Lyon-Bron
LFMD,France,Cannes-Mandelieu
LFMH,France,Saint-Etienne-Bouthéon
LFMK,France,Carcassonne-Salvaza
LFML,France,Marseille-Provence
LFMN,France,Nice-Côte d’Azur
LFMP,France,Perpignan-Rivesaltes
LFMT,France,Montpellier-Méditerranée
LFMU,France,Béziers-Vias
LFOB,France,Beauvais-Tillé
LFOK,France,Châlons-Vatry
LFPB,France,Paris-Le Bourget
LFPG,France,Paris-Charles-de-Gaulle
LFPN,France,Toussus-le-Noble
LFPO,France,Paris-Orly
LFQQ,France,Lille-Lesquin
LFRB,France,Brest-Bretagne
LFRD,France,Dinard-Pleurtuit-Saint-Malo
LFRG,France,Deauville-Normandie
LFRH,France,Lorient-Lann Bihoué
LFRK,France,Caen-Carpiquet
LFRN,France,Rennes-Saint-Jacques
LFRO,France,Lannion
LFRQ,France,Quimper-Pluguffan
LFRS,France,Nantes-Atlantique
LFSB,France,Bâle-Mulhouse
LFSL,France,Brive-Souillac
LFST,France,Strasbourg-Entzheim
LFTH,France,Hyères-Le Palyvestre
LFTW,France,Nîmes-Garons
EIWT,Ireland,Weston
LFAQ,France,Albert-Bray
LFJR,France,Angers-Marcé
LFLI,France,Annemasse
LFLX,France,Châteauroux-Déols
LFMV,France,Avignon-Caumont
LFOT,France,Tours-Val de Loire
LFRM,France,Le Mans
LFMI,France,Istres-Le Tubé
LFRZ,France,Saint-Nazaire-Montoir
LFOH,France,Le Havre-Octeville
EISG,Ireland,Sligo
EGNT,United Kingdom,Newcastle
EHLE,Netherlands,Lelystad
LFOP,France,Rouen
